sentence,correct_case,nom,dat,gen,acc,nom_fem,dat_fem,gen_fem,acc_fem,nom_neut,dat_neut,gen_neut,acc_neut,nom_plural,dat_plural,gen_plural,acc_plural
,nom,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er hilft,dat,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Das Buch,gen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich sehe,acc,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
,nom_fem,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich schenke,dat_fem,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Meinung,gen_fem,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Wir treffen,acc_fem,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
,nom_neut,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er antwortet,dat_neut,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Frau,gen_neut,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich liebe,gen_acc,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
,nom_plural,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich schenke,dat_plural,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Autos,gen_plural,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er mag,acc_plural,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
,nom,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich bin mit,dat,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Katze,gen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich habe,acc,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
,nom_fem,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich habe mit,dat_fem,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
