sentence,correct_case,nom,dat,gen,acc,nom_fem,dat_fem,gen_fem,acc_fem,nom_neut,dat_neut,gen_neut,acc_neut,nom_plural,dat_plural,gen_plural,acc_plural
Er kommt gleich.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er hilft ihm immer.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Das Buch seines ist alt.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich sehe ihn.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie ist heute nicht da.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich schenke ihr ein Buch.,ihr,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Meinung ihre zählt viel.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Wir treffen sie später.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Es ist ein schönes Haus.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er antwortet ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Frau seine ist hübsch.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich liebe es.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie wird Morgen da sein.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich schenke ihnen ein Buch.,ihnen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Autos ihren sind schwartz.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er mag sie sehr.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er bleibt zu Hause.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich bin mit ihm unterwegs.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Katze seine ist süß.,sein,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich habe ihn schon getroffen.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie färht nach Berlin.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich habe mit ihr gesprochen.,ihr,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Das ist das Auto ihres.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Wir treffen sie später.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Es ist mein Freund.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er hilft ihm mit dem Computer.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Zug seiner ist perfekt.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie jubelt es sehr.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie geht nach Hause.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich bin jetzt bei ihnen zu Hause.,ihnen,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Finden sie ihren Hund agressiv?,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Ich frage sie danach.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Er spielt Fußball im Park.,er,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Lehrer erklärt ihm die Aufgabe.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Idee seine ist brillant.,sein,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Arzt untersucht ihn gründlich.,ihn,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Sie tanzt gerne Salsa.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Professorin diskutiert mit ihr.,ihr,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Entscheidung ihre war mutig.,ihrer,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Kinder spielen gegen sie.,sie,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Es regnet den ganzen Tag.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Der Trainer glaubt ihm.,ihm,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Die Geschichte seine ist traurig.,seiner,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
Das Kind spielt ohne es.,es,er,ihm,seiner,ihn,sie,ihr,ihrer,sie,es,ihm,seiner,es,sie,ihnen,ihrer,sie
